,id,created_at,text,lang,hashtags,textlist,emoji,clean_text,filter_text,norm_text,lem,excitement,happy,pleasant,surprise,fear,angry,excitement_emoji,happy_emoji,pleasant_emoji,surprise_emoji,fear_emoji,angry_emoji,excitementclass,happyclass,pleasantclass,surpriseclass,fearclass,angryclass,max_value,max_idx
18835,1.2386549201879572e+18,Sat Mar 14 02:35:20 +0000 2020,Soooo much noise #annoyed,en,"[{'text': 'annoyed', 'indices': [17, 25]}]",['annoyed'],,Soooo much noise,Soooo much noise,"['soooo', 'much', 'noise']","soooo,much,noise",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
5070,1.2386122849743503e+18,Fri Mar 13 23:45:55 +0000 2020,RT @SchoonerLita: As #coronapocalypse arrives LNP axes 333 jobs at the CSIRO. The people we need in these sorts of crisis.🤬 https://t.co/RS…,en,"[{'text': 'coronapocalypse', 'indices': [21, 37]}]",['coronapocalypse'],🤬,: As arrives LNP axes jobs at the CSIRO. The people we need in these sorts of crisis.🤬,As arrives LNP axes jobs CSIRO The people need sorts crisis.🤬,"['as', 'arrives', 'lnp', 'axes', 'jobs', 'csiro', 'the', 'people', 'need', 'sorts', 'crisis']","a,arrives,lnp,ax,job,csiro,the,people,need,sort,crisis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
9659,1.238613934627672e+18,Fri Mar 13 23:52:29 +0000 2020,RT @ylo_gang_: Please no disrespect ‼️‼️‼️‼️‼️‼️ You wonder where the virus come from 😡😡😡😡😆😆 https://t.co/gwhZJbwg4W,en,[],[],‼‼‼‼‼‼😡😡😡😡😆😆,: Please no disrespect ‼️‼️‼️‼️‼️‼️ You wonder where the virus come from,Please disrespect ‼️‼️‼️‼️‼️‼️ You wonder virus come,"['please', 'disrespect', 'you', 'wonder', 'virus', 'come']","please,disrespect,you,wonder,virus,come",0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,4,4,angryclass
11766,1.2386147353539748e+18,Fri Mar 13 23:55:39 +0000 2020,"I eat ass, this corona virus doesn’t phase me. 😤",en,[],[],😤,"I eat ass, this corona virus doesn’t phase me.",I eat ass corona virus ’ phase,"['i', 'eat', 'ass', 'corona', 'virus', 'phase']","i,eat,as,corona,virus,phase",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
8566,1.2386135316684268e+18,Fri Mar 13 23:50:52 +0000 2020,RT @ItsYoBoySwish: Corona virus better not catch me on the street 😤👊 https://t.co/Ja8mBWCMEO,en,[],[],😤👊,: Corona virus better not catch me on the street,Corona virus better catch street,"['corona', 'virus', 'better', 'catch', 'street']","corona,virus,better,catch,street",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
19004,1.238655410883756e+18,Sat Mar 14 02:37:17 +0000 2020,How you got a mask and gloves on but using the subway bathroom 🤢🤦🏾‍♂️,en,[],[],🤢🤦🏾♂,How you got a mask and gloves on but using the subway bathroom 🤢🤦‍️,How got mask gloves using subway bathroom 🤢🤦‍️,"['how', 'got', 'mask', 'gloves', 'using', 'subway', 'bathroom']","how,got,mask,glove,using,subway,bathroom",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
744,1.2385987499261624e+18,Fri Mar 13 22:52:08 +0000 2020,RT @mikavellixo: y’all really be out here sitting on public toilet seats??? 🤢,en,[],[],🤢,: y’all really be out here sitting on public toilet seats??? 🤢,’ really sitting public toilet seats 🤢,"['really', 'sitting', 'public', 'toilet', 'seats']","really,sitting,public,toilet,seat",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
21108,1.2386624417618985e+18,Sat Mar 14 03:05:14 +0000 2020,sitting in the car listening to our walk up songs bc we won’t be able to hear them for the rest of the year . #depressed,en,"[{'text': 'depressed', 'indices': [110, 120]}]",['depressed'],,sitting in the car listening to our walk up songs bc we won’t be able to hear them for the rest of the year .,sitting car listening walk songs bc ’ able hear rest year,"['sitting', 'car', 'listening', 'walk', 'songs', 'bc', 'able', 'hear', 'rest', 'year']","sitting,car,listening,walk,song,bc,able,hear,rest,year",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
5096,1.2386122933967053e+18,Fri Mar 13 23:45:57 +0000 2020,Why does anyone find it OK to call something coronavirus “testing” when THEY DON’T SEND A TEST FOR THE ACTUAL VIRUS? 🤬,en,[],[],🤬,Why does anyone find it OK to call something coronavirus “testing” when THEY DON’T SEND A TEST FOR THE ACTUAL VIRUS? 🤬,Why anyone find OK call something coronavirus “ testing ” THEY DON ’ T SEND A TEST FOR THE ACTUAL VIRUS 🤬,"['why', 'anyone', 'find', 'ok', 'call', 'something', 'coronavirus', 'testing', 'they', 'don', 't', 'send', 'a', 'test', 'for', 'the', 'actual', 'virus']","why,anyone,find,ok,call,something,coronavirus,testing,they,don,t,send,a,test,for,the,actual,virus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
5098,1.2386122940636078e+18,Fri Mar 13 23:45:57 +0000 2020,The entire state of Ohio has tested 209 people with 13 positive (6.2%) 😤,en,[],[],😤,The entire state of Ohio has tested people with positive (6.2%),The entire state Ohio tested people positive 6.2,"['the', 'entire', 'state', 'ohio', 'tested', 'people', 'positive']","the,entire,state,ohio,tested,people,positive",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
4769,1.2386121800498135e+18,Fri Mar 13 23:45:30 +0000 2020,RT @CJperkins48: DEMOCRATS SHOULD BE IMPRISONED FOR STARTING ALL THIS HYSTERIA ABOUT THE VIRUS! THEY SURE DIDN'T DO THAT WITH NOBAMA🤬🤬🤬🤬 PE…,en,[],[],🤬🤬🤬🤬,: DEMOCRATS SHOULD BE IMPRISONED FOR STARTING ALL THIS HYSTERIA ABOUT THE VIRUS! THEY SURE DIDN'T DO THAT WITH NOBAMA🤬🤬🤬🤬 PE…,DEMOCRATS SHOULD BE IMPRISONED FOR STARTING ALL THIS HYSTERIA ABOUT THE VIRUS THEY SURE DID N'T DO THAT WITH NOBAMA🤬🤬🤬🤬 PE…,"['democrats', 'should', 'be', 'imprisoned', 'for', 'starting', 'all', 'this', 'hysteria', 'about', 'the', 'virus', 'they', 'sure', 'did', 'do', 'that', 'with', 'nobama', 'pe']","democrat,should,be,imprisoned,for,starting,all,this,hysteria,about,the,virus,they,sure,did,do,that,with,nobama,pe",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,angryclass
10789,1.238614365286232e+18,Fri Mar 13 23:54:11 +0000 2020,"RT @TheGreatFeather: Pelosi, 🤬🤬🤬, placing funding for abortions into a emergency bill for the CoVid virus? So now we have to kill a baby fo…",en,[],[],🤬🤬🤬,": Pelosi, 🤬🤬🤬, placing funding for abortions into a emergency bill for the CoVid virus? So now we have to kill a baby fo…",Pelosi 🤬🤬🤬 placing funding abortions emergency bill CoVid virus So kill baby fo…,"['pelosi', 'placing', 'funding', 'abortions', 'emergency', 'bill', 'covid', 'virus', 'so', 'kill', 'baby', 'fo']","pelosi,placing,funding,abortion,emergency,bill,covid,virus,so,kill,baby,fo",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,angryclass
596,1.2385987203898122e+18,Fri Mar 13 22:52:01 +0000 2020,RT @calebpressley: If these are the white ones just imagine the athletic ones 😤😤😤,en,[],[],😤😤😤,: If these are the white ones just imagine the athletic ones,If white ones imagine athletic ones,"['if', 'white', 'ones', 'imagine', 'athletic', 'ones']","if,white,one,imagine,athletic,one",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,angryclass
15606,1.238616236218626e+18,Sat Mar 14 00:01:37 +0000 2020,Corona virus bills are the absolute wrong place to sneak in other policies like abortion restrictions. 😤,en,[],[],😤,Corona virus bills are the absolute wrong place to sneak in other policies like abortion restrictions.,Corona virus bills absolute wrong place sneak policies like abortion restrictions,"['corona', 'virus', 'bills', 'absolute', 'wrong', 'place', 'sneak', 'policies', 'like', 'abortion', 'restrictions']","corona,virus,bill,absolute,wrong,place,sneak,policy,like,abortion,restriction",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
1156,1.238598850992132e+18,Fri Mar 13 22:52:32 +0000 2020,a girl just trynna snuggle up get her self a hickey or two &amp; watch elite ugh STOOPID virus ni a la esquina me dejan salir 👎🏼,en,[],[],👎🏼,a girl just trynna snuggle up get her self a hickey or two &amp; watch elite ugh STOOPID virus ni a la esquina me dejan salir,girl trynna snuggle get self hickey two amp watch elite ugh STOOPID virus ni la esquina dejan salir,"['girl', 'trynna', 'snuggle', 'get', 'self', 'hickey', 'two', 'amp', 'watch', 'elite', 'ugh', 'stoopid', 'virus', 'ni', 'la', 'esquina', 'dejan', 'salir']","girl,trynna,snuggle,get,self,hickey,two,amp,watch,elite,ugh,stoopid,virus,ni,la,esquina,dejan,salir",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
12965,1.2386152217254298e+18,Fri Mar 13 23:57:35 +0000 2020,RT @karismavyas_: I did not wait 12 years for some stupid virus to cancel my whole senior year😡,en,[],[],😡,: I did not wait years for some stupid virus to cancel my whole senior year,I wait years stupid virus cancel whole senior year,"['i', 'wait', 'years', 'stupid', 'virus', 'cancel', 'whole', 'senior', 'year']","i,wait,year,stupid,virus,cancel,whole,senior,year",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
386,1.2385986748101632e+18,Fri Mar 13 22:51:50 +0000 2020,"RT @FelineFriendsUK: We have seen a post on FB about people dumping pets because of Corona virus. 😿👎

Feline coronavirus is species specifi…",en,[],[],😿👎,: We have seen a post on FB about people dumping pets because of Corona virus. Feline coronavirus is species specifi…,We seen post FB people dumping pets Corona virus Feline coronavirus species specifi…,"['we', 'seen', 'post', 'fb', 'people', 'dumping', 'pets', 'corona', 'virus', 'feline', 'coronavirus', 'species', 'specifi']","we,seen,post,fb,people,dumping,pet,corona,virus,feline,coronavirus,specie,specifi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
13230,1.2386153225733202e+18,Fri Mar 13 23:57:59 +0000 2020,Yall better leave some damn food &amp; Shit for these parents ppl. Got whole ass BABIES bruh y'all are trippin😤,en,[],[],😤,Yall better leave some damn food &amp; Shit for these parents ppl. Got whole ass BABIES bruh y'all are trippin,Yall better leave damn food amp Shit parents ppl Got whole ass BABIES bruh y'all trippin,"['yall', 'better', 'leave', 'damn', 'food', 'amp', 'shit', 'parents', 'ppl', 'got', 'whole', 'ass', 'babies', 'bruh', 'all', 'trippin']","yall,better,leave,damn,food,amp,shit,parent,ppl,got,whole,as,baby,bruh,all,trippin",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
23660,1.2386720254949786e+18,Sat Mar 14 03:43:18 +0000 2020,I'm just so fucking angry all the time and I hate it😡😩 #tiredofthishit #justkillmenow #angry,en,"[{'text': 'tiredofthishit', 'indices': [55, 70]}, {'text': 'justkillmenow', 'indices': [71, 85]}, {'text': 'angry', 'indices': [86, 92]}]","['tiredofthishit', 'justkillmenow', 'angry']",😡😩,I'm just so fucking angry all the time and I hate it,I 'm fucking angry time I hate,"['i', 'm', 'fucking', 'angry', 'time', 'i', 'hate']","i,m,fucking,angry,time,i,hate",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,2,angryclass
24225,1.2386742799332147e+18,Sat Mar 14 03:52:16 +0000 2020,last weekend kay tag 99 ang 10 pcs nga face mask sa freelife dayn today kay tag 99 na ang 3 pcs? 🤢 people really do… https://t.co/6kHZbijd1c,en,[],[],🤢,last weekend kay tag ang pcs nga face mask sa freelife dayn today kay tag na ang pcs? 🤢 people really do…,last weekend kay tag ang pcs nga face mask sa freelife dayn today kay tag na ang pcs 🤢 people really do…,"['last', 'weekend', 'kay', 'tag', 'ang', 'pcs', 'nga', 'face', 'mask', 'sa', 'freelife', 'dayn', 'today', 'kay', 'tag', 'na', 'ang', 'pcs', 'people', 'really', 'do']","last,weekend,kay,tag,ang,pc,nga,face,mask,sa,freelife,dayn,today,kay,tag,na,ang,pc,people,really,do",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
19725,1.238657751808643e+18,Sat Mar 14 02:46:35 +0000 2020,Mask On 🛥🎉😷 #masquerade #yacht #party #fridaythe13th #lit #maskON #water #yachtparty #mask #celebrate @ St. Pete Be… https://t.co/XgtNdKGUS6,en,"[{'text': 'masquerade', 'indices': [12, 23]}, {'text': 'yacht', 'indices': [24, 30]}, {'text': 'party', 'indices': [31, 37]}, {'text': 'fridaythe13th', 'indices': [38, 52]}, {'text': 'lit', 'indices': [53, 57]}, {'text': 'maskON', 'indices': [58, 65]}, {'text': 'water', 'indices': [66, 72]}, {'text': 'yachtparty', 'indices': [73, 84]}, {'text': 'mask', 'indices': [85, 90]}, {'text': 'celebrate', 'indices': [91, 101]}]","['masquerade', 'yacht', 'party', 'fridaythe13th', 'lit', 'maskon', 'water', 'yachtparty', 'mask', 'celebrate']",🛥🎉😷,Mask On St. Pete Be…,Mask On St. Pete Be…,"['mask', 'on', 'pete', 'be']","mask,on,pete,be",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
8155,1.238613375401087e+18,Fri Mar 13 23:50:15 +0000 2020,RT @jasalexisss: Just bc im coughing doesn’t mean I have the corona virus 😡😡,en,[],[],😡😡,: Just bc im coughing doesn’t mean I have the corona virus,Just bc im coughing ’ mean I corona virus,"['just', 'bc', 'i', 'm', 'coughing', 'mean', 'i', 'corona', 'virus']","just,bc,i,m,coughing,mean,i,corona,virus",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,angryclass
19063,1.2386555537921024e+18,Sat Mar 14 02:37:51 +0000 2020,@ObafemiAwolowo5 Let me meet a chick and she pulls a whole mask off see if we don’t have some serious issues.😡😡😡,en,[],[],😡😡😡,Let me meet a chick and she pulls a whole mask off see if we don’t have some serious issues.,Let meet chick pulls whole mask see ’ serious issues,"['let', 'meet', 'chick', 'pulls', 'whole', 'mask', 'see', 'serious', 'issues']","let,meet,chick,pull,whole,mask,see,serious,issue",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,angryclass
2574,1.2386114935091937e+18,Fri Mar 13 23:42:46 +0000 2020,I can’t stand staying home all day because of my dad 🤮 Fuck virus,en,[],[],🤮,I can’t stand staying home all day because of my dad 🤮 Fuck virus,I ’ stand staying home day dad 🤮 Fuck virus,"['i', 'stand', 'staying', 'home', 'day', 'dad', 'fuck', 'virus']","i,stand,staying,home,day,dad,fuck,virus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
15822,1.2386163174874317e+18,Sat Mar 14 00:01:57 +0000 2020,"What's everyone doing tonight? I am so bored and frustrated I cant watch any of my teams playing, damn virus #CoronavirusPandemic 👎☹️",en,"[{'text': 'CoronavirusPandemic', 'indices': [109, 129]}]",['coronaviruspandemic'],👎☹,"What's everyone doing tonight? I am so bored and frustrated I cant watch any of my teams playing, damn virus ️",What 's everyone tonight I bored frustrated I cant watch teams playing damn virus ️,"['what', 'everyone', 'tonight', 'i', 'bored', 'frustrated', 'i', 'ca', 'nt', 'watch', 'teams', 'playing', 'damn', 'virus']","what,everyone,tonight,i,bored,frustrated,i,ca,nt,watch,team,playing,damn,virus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
19272,1.2386562185555436e+18,Sat Mar 14 02:40:30 +0000 2020,"#Mask #Production Line
Video link add https://t.co/rr8jaKMmf5
Finally, I hope to all well.
#COVID2019 #coronavirus… https://t.co/F3vebNUPL7",en,"[{'text': 'Mask', 'indices': [0, 5]}, {'text': 'Production', 'indices': [6, 17]}, {'text': 'COVID2019', 'indices': [91, 101]}, {'text': 'coronavirus', 'indices': [102, 114]}]","['mask', 'production', 'covid2019', 'coronavirus']",,"Line Video link add Finally, I hope to all well. …",Line Video link add Finally I hope well …,"['line', 'video', 'link', 'add', 'finally', 'i', 'hope', 'well']","line,video,link,add,finally,i,hope,well",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
16064,1.2386164138639565e+18,Sat Mar 14 00:02:20 +0000 2020,@LostMonk71 @DoodlesTrks @IngrahamAngle @seanmdav Virus 🦠 or puddle of puke 🤮? 😂,en,[],[],🦠🤮😂,Virus 🦠 or puddle of puke 🤮?,Virus 🦠 puddle puke 🤮,"['virus', 'puddle', 'puke']","virus,puddle,puke",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
20027,1.2386587794968617e+18,Sat Mar 14 02:50:40 +0000 2020,"#mask #N95mask #COVID2019 #coronavirusuk #COVID_19uk #CoronaVirusDE We provide masks in stock,DDP shipping to US an… https://t.co/Pv6YChNhrg",en,"[{'text': 'mask', 'indices': [0, 5]}, {'text': 'N95mask', 'indices': [6, 14]}, {'text': 'COVID2019', 'indices': [15, 25]}, {'text': 'coronavirusuk', 'indices': [26, 40]}, {'text': 'COVID_19uk', 'indices': [41, 52]}, {'text': 'CoronaVirusDE', 'indices': [53, 67]}]","['mask', 'n95mask', 'covid2019', 'coronavirusuk', 'covid_19uk', 'coronavirusde']",,"We provide masks in stock,DDP shipping to US an…",We provide masks stock DDP shipping US an…,"['we', 'provide', 'masks', 'stock', 'ddp', 'shipping', 'us', 'an']","we,provide,mask,stock,ddp,shipping,u,an",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
20364,1.238659895081263e+18,Sat Mar 14 02:55:06 +0000 2020,"2020, get bent!!! #depressed",en,"[{'text': 'depressed', 'indices': [18, 28]}]",['depressed'],,", get bent!!!",get bent,"['get', 'bent']","get,bent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
20056,1.2386588998357484e+18,Sat Mar 14 02:51:09 +0000 2020,"RT @JazelllMytay: Face mask and blunt type night. Self care if you will , since ain’t no one else takin’ care of me 🤧",en,[],[],🤧,": Face mask and blunt type night. Self care if you will , since ain’t no one else takin’ care of me 🤧",Face mask blunt type night Self care since ’ one else takin ’ care 🤧,"['face', 'mask', 'blunt', 'type', 'night', 'self', 'care', 'since', 'one', 'else', 'takin', 'care']","face,mask,blunt,type,night,self,care,since,one,else,takin,care",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
22806,1.2386686860947907e+18,Sat Mar 14 03:30:02 +0000 2020,The 250 person restriction in #California is such blatant evidence of #discrimination by the system. With rules lik… https://t.co/hZGToj6Lim,en,"[{'text': 'California', 'indices': [30, 41]}, {'text': 'discrimination', 'indices': [70, 85]}]","['california', 'discrimination']",,The person restriction in is such blatant evidence of by the system. With rules lik…,The person restriction blatant evidence system With rules lik…,"['the', 'person', 'restriction', 'blatant', 'evidence', 'system', 'with', 'rules', 'lik']","the,person,restriction,blatant,evidence,system,with,rule,lik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
20050,1.2386588724302643e+18,Sat Mar 14 02:51:03 +0000 2020,"@johnisthewarlus boomer memes: 😃🤬🥱😤😤
millennial memes: #spongebob #inthiseconomy #patriarchy #feminism #depressed #teenmom",en,"[{'text': 'spongebob', 'indices': [55, 65]}, {'text': 'inthiseconomy', 'indices': [66, 80]}, {'text': 'patriarchy', 'indices': [81, 92]}, {'text': 'feminism', 'indices': [93, 102]}, {'text': 'depressed', 'indices': [103, 113]}, {'text': 'teenmom', 'indices': [114, 122]}]","['spongebob', 'inthiseconomy', 'patriarchy', 'feminism', 'depressed', 'teenmom']",😃🤬🥱😤😤,boomer memes: 🤬🥱 millennial memes:,boomer memes 🤬🥱 millennial memes,"['boomer', 'memes', 'millennial', 'memes']","boomer,meme,millennial,meme",0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,4,4,angryclass
3716,1.2386118413513236e+18,Fri Mar 13 23:44:09 +0000 2020,same sis 🤧,en,[],[],🤧,same sis 🤧,sis 🤧,['sis'],si,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
2587,1.2386114977707786e+18,Fri Mar 13 23:42:48 +0000 2020,this virus showed me that some people are dirty about their hygiene 🤢,en,[],[],🤢,this virus showed me that some people are dirty about their hygiene 🤢,virus showed people dirty hygiene 🤢,"['virus', 'showed', 'people', 'dirty', 'hygiene']","virus,showed,people,dirty,hygiene",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
27158,1.2386866631964467e+18,Sat Mar 14 04:41:28 +0000 2020,"Hope All My Niggas All Good
During The #Virus Goin Around
I Left Too Cop Dope 😤😤😤😤
Now Im Coughin Up The Dope",en,"[{'text': 'Virus', 'indices': [39, 45]}]",['virus'],😤😤😤😤,Hope All My Niggas All Good During The Goin Around I Left Too Cop Dope Now Im Coughin Up The Dope,Hope All My Niggas All Good During The Goin Around I Left Too Cop Dope Now Im Coughin Up The Dope,"['hope', 'all', 'my', 'niggas', 'all', 'good', 'during', 'the', 'goin', 'around', 'i', 'left', 'too', 'cop', 'dope', 'now', 'i', 'm', 'coughin', 'up', 'the', 'dope']","hope,all,my,nigga,all,good,during,the,goin,around,i,left,too,cop,dope,now,i,m,coughin,up,the,dope",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,angryclass
